City,Speaker,Sex,BirthYear,Age,BirthPlace,OldResidences,Residences,OldProfessions,Retired,Profession,OtherProfessions,MaritalStatus,OtherMaritalStatuses,NumChildren,Children,YearsEducation,LevelEducation,Education,Languages,OtherLanguages,FatherBirthYear,FatherBirthPlace,FatherProfession,FatherEducation,FatherLanguages,FatherOtherLanguages,MotherBirthYear,MotherBirthPlace,MotherProfession,MotherEducation,MotherLanguages,MotherOtherLanguages,SpouseBirthPlace,SpouseProfession,SpouseEducation,SpouseLanguages,SpouseOtherLanguages,Training,HousingType,OtherHousingTypes,Neighborhood,Hobbies,Notes,FormalInterviewer,InformalInterviewer,StudyDate,StudyDuration,StudySetting,StudyCity,Relationship,OtherRelationship,InformalNotes,StudyOrder,Topics,StudyQuality,OtherObservations,EnvironmentQuality
Brunoy,91amb1,M,1942,62,Vitry sur Seine (94),"Vitry sur Seine (27), Brunoy (34)",Brunoy,"chaudronnier, soudeur, technicien de controle.",,9,technicien de controle,Marie,,1,"Fille, 37 ans, CAP. Aide-soignante. Trois filles : 11, 7 et 2 ans.",,SecondaireI,Certificat d'etudes + CAP chaudronnier,espagnol,notions,1914,"Cherence (Seine et oise, 95)","Employe SNCF, cheminot",Certificat d'etudes + CAP paysagiste.,,,1918,Matosinhos (Portugal) en France  18 mois,Mere au foyer,Pas d'etudes,portugais,,Espagne (arrivee en France  13 ans),,Pas d'etudes,espagnol,,parents,Maison,maison,Bonnes relations de voisinage.,"Association FNACA (anciens combattants d'Algerie), velo, marche.rnVoyages : Seville, Maroc, Guadeloupe.",,142,142,12/14/2003,62,Piece isolee du domicile d'une ancienne enquetee,Brunoy,Aucun,Voisin d'une enquetee,,"libre, guide, texte, liste de mots","politique actuelle, sa fille, voyages",Bon,,
Brunoy,91ajc1,M,1940,63,Toulon (Var),"Toulon (5), Paris (23), Brunoy (35)",Brunoy,"Commercial  21 ans, responsable informatique chez Total(programmeur puis analyste puis responsable des systemes d'exploitation puis responsable des exploitations et projets puis directeur de projet).",,6,directeur de projet dans les filiales de Total,Marie,,2,"Fils, 36 ans, Bac scientifique, prepa maths sup / bio, directeur d'usines, trois petites filles.rnFils, 29 ans, Bac scientifique, prepa maths sup / bio, responsable vignoble, un fils.",16-18,lyceeC,Bac specialise en sciences experimentales  17 ans.,anglais,moderement,1919,Nord de la France,Au service du Premier Ministre pour l'Etat.,Bac litteraire.,,,1919,dans les Vosges.,Coiffeuse.,Certificat d'etudes.,,,Saintes (Charentes Maritimes),,Certificat d'etudes + cours Pigier d'etudes comptable.,,,parents,Maison,maison,Bonnes relations de voisinage,,President d'un club de bourse depuis trois ans.rnVoyage en Angleterre.,142,142,12/1/2003,58,Salon de l'enquete,Brunoy,Aucun,Voisin de la mere de l'ami de l'enquetrice,,"guide, libre, liste de mots, texte","Anecdotes sur les voyages, l'assimilation de l'anglais, les activites des enfants",Bon,Interruption telephonique.,Bon
Brunoy,91aed1,F,1943,60,Paris,"Paris (4), Brunoy (7), Paris (5), Dunkerque (1), Lille (2), Saint Gratien, Brunoy",Brunoy,"Professeur de travaux manuels, formatrice  l'ecole normale puis  l'IUFM",1,7,Formatrice  l'IUFM de Melun (77),Celibataire,divorcee,3,"Fils, 32 ans, BTS productique, charge d'affaires technico-commercial, un fils de sept mois.rnFils, 31 ans, BTS electronique, dans la maintenance electronique, un garcon de trois ans, une fille de neuf mois.rnFils, 27 ans, Bac S, audio-prothesiste, pas d'enfant.",20 et plus,Superieur4,"Bac maths et leme (equivalent au bac S), certificat de composition decorative, certificat d'economie domestique, certificat de coupe et de couture, certificat de propedeutique, CAPES, these en sciences de l'education.",,,1902,Beziers (34),Inspecteur  la SNCF,"Certificat d'etudes, bac, diplome d'ingenieur.",patois du sud-ouest,,1906,Paris,professeur de piano (mais n'a jamais exerce),Diplome de professeur de piano,,,,,,,,,Maison,maison,"Bonnes relations de voisinage en regle generale, mis  part quelques problemes  cause du chien.","Randonnee, aquagym, club d'echecs, groupe vocal.",,142,142,11/26/2003,58,Salon de l'enquete,Brunoy,Aucun,Une voisine,,"guide, libre, texte, liste de mots","Etudes, parcours professionnel, loisirs, randonnee, groupe vocal, aquagym, enfants...",Bon,Aboiements d'un chien.,
Brunoy,91aal1,F,1976,27,Villeneuve Saint Georges,Brunoy (27),Brunoy,"Encadrement d'enfants (centres aeres, colonies), chargee de TD",1,7,Chargee de TD en parallele de ses etudes,Marie,,,,20 et plus,Superieur4,Doctorante en linguistique mention TAL,anglais,notions,1951,Crosne (91),Professeur des ecoles,Bac,,,0,,Professeur des ecoles,Faculte,,,,,Prepare actuellement son diplome d'expert comptable et suit des formations techniques quatre jours par an.,,,parents,Maison,maison,Bonnes relations de voisinage,"Cours d'anglais, de gymnastique, de valse.",,142,142,11/27/2003,64,Salon de l'enquetee,Brunoy,Amical,,,"guide, libre, texte, liste de mots","Etudes, rencontre avec son mari, relations avec ses eleves en tant que professeur, animaux, l'histoire de son lapin, danse",Bon,Interruption telephonique,
Brunoy,91asl1,F,1939,64,Paris XIXeme,"Saint Ouen (nc), Saint Germain les Corbeils (nc), Charenton (nc), Brunoy (17)",Brunoy,"Chef comptable aux Nouvelles Galeries Lafayettes, gardienne d'immeuble, expert comptable.",,4,Expert comptable,Celibataire,divorcee,1,"Fille, 35 ans, Bac F8, secretaire medicale. Deux enfants : Alex, 9 ans, Celine, 6 ans.",,SecondaireC,"CAP comptable, brevet de comptabilite (etudes par correspondance)",,,1908,Paris,Chauffagiste,"Certificat d'etudes, ecole estienne.",,,1909,Paris XVIIeme,Secretaire,"Certificat d'etudes, cours Pigier (filiere comptabilite)",,,,,,,,parents,Maison,maison,"Relations de voisinage mitigees, relations conflictuelles avec les voisins d'en face (les a menes jusqu'au tribunal).","Jardin, decoration de son interieur.",,142,142,11/28/2003,49,Cuisine de l'enquetee,Brunoy,Aucun,Voisine,,"guide, libre, texte, liste de mots","Problemes avec sa fille, ascension professionnelle, activites",Bon,,
Brunoy,91aal2,M,1930,73,Paris Xeme,"Brunoy (72), Paris (1)",Brunoy,"Electricien de 1945  1960, V.R.P. dans le materiel electrique, chef de representants, inspecteur responsable regional, directeur general.",,3,Directeur general,Marie,,1,"Fille, 32 ans, B.T.S. secretariat, a ete secretaire, est maintenant mere au foyer. Une fille de 18 ans en premiere annee de medecine, une fille de 16 ans en premiere litteraire.",16-18,lyceeI,"CAP, ecole professionnelle.",roumain,notions,0,,,,,,0,Brunoy,,"Certificat d'etudes, diplome de stenodactylo.",,,,,,,,,Maison,maison,Bonnes relations de voisinage,"Directeur d'une association en Roumanie, dirige des convois depuis 1990, aide un village roumain, a accueilli des enfants roumains et le maire du village dont il s'occupe. Fait des expositions pour recolter les fonds necessaires pour subventionner les voyages. Aime le the tre.rnVoyages en France : Savoie, Saint Jean de Luz, Bretagne.",Enfant eleve par l'Assistance.,142,142,12/3/2003,70,Salon de l'enquete,Brunoy,Aucun,Voisin de l'enquetrice,Presence et intervention de la femme de l'enquete,"guide, libre, texte, liste de mots","Roumanie, association, enfants, voyages",Bon,"Alarmes d'essai sur les maries, entendue pendant l'entretien",
Brunoy,91ael1,F,1930,73,Paris Montparnasse,"Paris (nc), Brunoy",Brunoy,8,Employee de banque,,,Celibataire,veuve,2,"Fils, 48 ansrnFils, 40 ans",moins de 14,CertificatEtudes,,,,0,,,,,,0,Cotes d'Armor (Bretagne),"Bonne a   tout faire, puis dans la restauration",Ne savait pas ecrire.,Patois,,,,,,,Mere,Maison,Maison,Bonnes relations de voisinage,"N'aime pas voyager, s'occupe de ses petits-enfants.",,142,5/21/1900,11/26/2003,87,Salon de l'enquetrice,Brunoy,Aucun,Voisine,Famille de l'enquetrice.,"libre, guide, texte, liste de mots.","Enfance, relations avec ses belles-filles, ses petits-fils.",Bon,"Intervention de la mere, du pere et des soeurs de l'enquetrice.",
Brunoy,91acs1,M,1981,22,Villeneuve Saint Georges (94),Brunoy (22),Brunoy,"Reparateur d'ecrans d'ordinateurs, technicien de maintenance pour photocopieurs.",1,9,Technicien de maintenance pour photocopieurs,Concubinage,Une amie,,,,Superieur2,"BEP electronique, Bac STI genie electronique, BTS electronique",anglais,pas une reelle maitrise,1946,Brunoy,"Imprimeur, retraite",Certificat d'etudes,,,1954,Brunoy,Fonctionnaire (distribution des sujets),Certificat d'etudes,,,,,,,,parents,Maison,maison,Bonnes relations de voisinage,"Tuning, jiu-jitsu (ceinture marron)",,142,142,11/30/2003,48,Chambre de l'enquete,Brunoy,,,,"guide, libre, texte, liste de mots","Animaux, colonies de vacances, sport, tuning, projet de futur proche, gendarmerie mobile",Bon,"Le chien, present dans la chambre, la mettait sens dessus-dessous",
Brunoy,91acs2,F,1954,49,Brunoy,"Brunoy (47), Corbeil (2)",Brunoy,"Entree au ministere  16 ans, s'est occupee de la gestion des paies des membres du jury (d'examens), gestion financiere, mere au foyer, puis  nouveau gestion financiere, gere les concours depuis trois ans.",1,5,"Fonctionnaire, gestion des concours",Marie,,4,"Fille, 1977. Bac STT, maitrise de sciences de l'education. Institutrice.rnFille, 1979. Bac STT, BTS commercial. Travaille au Bon Marche.rnFils, 1981. BEP electronique, bac STI genie electronique, BTS electronique. Reparateur d'ecrans puis technicien de maintenance pour photocopieurs.rnFille, 1981. Premiere STT, actuellement etudiante.",,SecondaireI,Certificat d'etudes + 2 ans de comptabilite au sein d'un college d'enseignement technique.,,,1912,Evry les ch teaux (91),Macon,Certificat d'etudes.,,,1916,Chambord (41),"Lingere, femme de chambre.",Certificat d'etudes.,,,Brunoy,,"Certificat d'etudes, formation dans l'imprimerie.",,,parents.,Maison,Maison,Bonnes relations de voisinage.,"Expositions, peinture.",,142,142,11/29/2003,86,Piece bien isolee du domicile de l'enquetee,Brunoy,Amical,,,"guide, libre, texte, liste de mots","Anecdotes sur les voyages, sur les enfants, les relations professionnelles, le chien",Bon,,
Burkina Faso,bfabo1,F,1970,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,190,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfadg1,F,1966,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfann1,F,1950,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfakk1,F,1961,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfasy1,F,1959,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfaki1,M,1957,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfati1,F,1957,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfath1,F,1943,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfasb1,F,1961,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfanr1,F,1968,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfato1,F,1979,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Burkina Faso,bfada1,F,1959,,,,,,,,,,,,,,,,,,12/30/1899,,,,,,0,,,,,,,,,,,,,,,,,7/8/1900,190,1/1/1997,,,,,,,,,,,
Cameroun,cyajl1,M,1983,24,Douala,Douala,,journaliste,,,,,celibataire,,,20 ans,superieur,ecole de journalisme,francais,bangou,0,,,,,,1948,,,femme au foyer,"francais, bangou",douala,,,,,,francais langue premiere,maison,,bien integre,,,,,0000-00-00,,dansune piece de la station de radio,,"se connaissent peu, se voient pour la deuxieme fois",,enquetrice/enquete,"informel, formel, texte, liste","travail, langues",Bon,,
Cameroun,cyaja1,M,1980,27,Douala,Douala,Douala,"charpentier, electricien",,stagiaire dans un supermarche,,,en couple,1,"sexe feminin, 9 mois",24 ans,4e annee,enseignement technique electricite,"douala, francais","bassa, abo, pongo, bakoko",0,,"electricien, retaite",,"douala, francais",anglais,1965,Douala,couturiere,enseignement technique interrompu,"francais, douala",anglais,Douala,danseuse,enseignement technique,,,"au quartier, eleve par sa grand mere qui ne parle que le douala",studio,,"tres bien integre, a toujours habite le meme quartier",football,Ja et Nj sont en couple,,,0000-00-00,1,chambre d'hotel,Yaounde,amical,"bons amis, se voient frequemment","enquetrice/enquete, JA","formel, infromel, texte, liste",travail,moyen,,fond musical
Cameroun,cyama1,F,1976,30,Yaounde,"Yaounde, Douala",Douala,restauration (commerce informel),,,,,en couple,3,"sexe feminin 12 ans, sexe masculin, 10 ans, sexe feminin 8 ans, scolarises",16 ans,3e,college,"francais, douala","abo, bassa",1945,Yaounde (?),"comptable, retraite",college,"douala, francais",anglais,1948,Yaounde,couturiere,cap technique commerciale,,,,,,,,francais langue premiere,maison,,tres bien integree.,,"Gra, MA et JA sont sÅ“urs",,,0000-00-00,,Domicile de l'enquetee (maison),Douala,amical,"amies, habitent ensemble durant l'enquete","enquetrice/enquete, enregistre le lendemain, dans la cour devant la maison","texte, liste, formel, informel","langues (formel), problemes du quotidien, temps (informel)","bon, (informal: moyen)",,"informel: bruits de l'exterieur (oiseaux, rueâ€¦)"
Cameroun,cyaja1,F,1983,24,Bomono,"Bomono, Douala",Douala,danseuse,,,,,en couple,1,sexe feminin 7 ans,18 ans,4e annee,enseignement technique,"francais, Douala","abo, ewodi",1945,Yaounde(?),"comptable, retraite",college,"douala, francais",anglais,1948,Yaounde,couturiere,cap technique commerciale,"douala, francais","ewodi, bassa",Douala,stagiaire,enseignement technique,"francais, douala",,francais langue premiere,maison,,"tres bien integree, populaire, passe souvent a  la television","sorties, amis","Ja et Nj sont en couple, Gra, MA et JA sont sÅ“urs",,,0000-00-00,1,chambre d'hotel,Yaounde,amical,"tres bonnes amies, habitent ensemble durant l'enquete","enquetrice/enquete, une amie. Enregistre le 14-07-2007 a  Douala, a  la maison","informel, formel, texte, liste","famille, danse",moyen,informel: on entend une musique assez forte,fond musical
Cameroun,cyagr1,F,1970,37,Yaounde,"Yaounde, Douala",Douala,restauration (commerce informel),,,,,en couple,2,"sexe masculin 12 ans, sexe masculin 3 ans, scolarises",17 ans,3e annee,enseignement technique commercial,"francais, douala",ewondo,1945,Yaounde (?),"comptable, retraite",college,"douala, francais",anglais,1948,Yaounde,couturiere,cap technique commerciale,"douala, francais","ewodi, bassa",Douala,sans emlpoi,,"douala, francais","anglais, ewodi, pongo",francais langue premiere,maison,,tres bien integree.,,"CB est le conjoint de GRA, GRA, MA et JA sont sÅ“urs",,,0000-00-00,,"dans la cour au domicile de ses sÅ“urs, oa¹ elle vient travailler chaque jour",Douala,amical,se cotoient tous les jours durant la duree de l'enquete (7 semaines),enquetrice/enquete,"formel, informel, texte, liste","langues, famille",moyen,la lecture de la liste a ete faite un peu plus tard dans la soiree,bruits de la rue
Cameroun,cyacb1,M,1964,43,Douala,Douala,Douala,"employe dans un hotel, au PMU, comptableâ€¦",,sans emploi,,,en couple,3,"sexe feminin 16 ans, sexe masculin 9ans, sexe masculin 3 ans, scolarises",jusqu'a  26 ans,,sciences economiques,"francais (appris a  l'ecole, mais langue vehiculaire a  Douala), douala","anglais a  l'ecole, ewodi, pongo",0,,comptable,,"douala, francais",,0,,restauration,,"douala, francais",beti,yaounde,restauration (commerce informel),,"francais, douala",,a  l'ecole,maison,,tres bien integre.,"lecture, tele/radio (emissions politique, debats)",peu d'informations sur les parents (pere decede prematurement); CB est le conjoint de GRA,,,0000-00-00,3,domicile de ses belles-sÅ“urs (lieu de residence de l'enquetrice),Douala,amical,se cotoient tous les jours durant la duree de l'enquete (7 semaines),"enquetrice/enquete, enregistre separement des autres activites (le 22-07-2007)","informel (plusieurs jours auparavant) texte, liste, formel","ecoles, langues, politique",bon,"par moments, passage de membres de la famille, enfants",
Chlef,acaab1,M,1955,53,"Adjama, Relizane","Lahlef, Relizane, jusquâ€™a  lâ€™adolescence, puis Chlef",Chlef,"Infirmier a  lâ€™hopital, puis enseignant dans le paramedical, puis commercant, dans le paramedical",,Commercant,,marie,,8,"1 fils de 24 ans kine, 2 fils de 26 et 18 ans etudiants, 1 fille de 23 ans etudiante, 2 fils de 15 et 13 ans au CEM, 2 fils de 9 et 7 ans au primaire",,Diplome dâ€™infirmier,,"arabe dialectal (langue maternelle), arabe classique",,1920,"Adjama, Relizane",paysan,quelques annees dâ€™ecole coranique,arabe dialectal (langue maternelle) (ne parlait pas le francais),,1926,"Adjama, Relizane",Femme au foyer,Analphabete,arabe dialectal (langue maternelle) (ne parle pas le francais),,"Adjama, Relizane",Femme au foyer,Debut de primaire,"arabe dialectal (langue maternelle), notions dâ€™ arabe classique (ne parle pas le francais)",,,,,Bonne integration,,,,,11/8/2011,,Magasin de lâ€™enquete (en dehors des heures dâ€™ouverture),Chlef,Aucun,,Locuteurs presents : AB + les deux enquetrices,glmt,"vie de lâ€™enquete, mode de vie algerien, situation du francais en Algerie, particulierement du point de vue de lâ€™enseignement",Bonne,,Quelques interruptions par des clients ou des coup
Chlef,acaana1,M,1948,60,"Senges, Chlef","Senges, puis Chlef a  partir de lâ€™adolescence",Chlef,"Instituteur, inspecteur de francais, sous-prefet, puis traducteur-interprete judiciaire",,Traducteur-interprete judiciaire,,marie,,3,"1 fils de 30 ans veterinaire, 1 fille de 25 ans traducteur-interprete judiciaire, 1 fille de 20 ans opticienne",,2 licences (4 ans) en francais et en droit,,"arabe dialectal (langue maternelle), arabe classique, espagnol",,1924,"Senges, Chlef","Emigre en France (mineur, puis ouvrier)",Analphabete,arabe dialectal (langue maternelle),,1928,"Senges, Chlef",Femme au foyer,Analphabete,arabe dialectal (langue maternelle) (ne parlait pas le francais),,Orleansville (aujourdâ€™hui Chlef),Enseignante au lycee,licence en lettres arabes (4 ans),"arabe dialectal (langue maternelle), arabe classique",,"Enseignants francais, ecole francaise post-coloniale",maison,,Tres bonne integration,,,,,11/8/2011,,Bureau de lâ€™enquete,Chlef,Aucun,,"Locuteurs presents : MK + les deux enquetrices + un autre enquete ami de celui-ci (abama1), arrive au moment des entretiens",mtlg,"vision de la vie de lâ€™enquete, modes dâ€™apprentissage des langues, importance de la lecture, activites associatives de lâ€™enquete",Bonne,,"Quelques interruptions de collaborateurs, coups de"
Chlef,acabs1,M,1982,27,"El Biar, Alger","El Biar jusquâ€™a  4 ans, puis Chlef",Chlef,"Agent commercial, puis enseignant de francais (vacataire)",,Enseignant de francais (Lycee),,celibataire,,,,,Bac + Licence de francais (4 ans),,"arabe dialectal (langue maternelle), arabe classique",,1946,"El Biar, Alger",Ingenieur agronome,Diplome dâ€™ingenieur,arabe dialectal (langue maternelle),,1948,Alger,Femme au foyer,Diplome de sage-femme,arabe dialectal et kabyle (langues maternelles),,,,,,,,maison,,Bonne integration,,,,,11/8/2011,,Salon dâ€™hotel,Chlef,Aucun,Collegue de travail de FA (informatrice),Locuteurs presents : BS + les deux enquetrices,glmt,"vie de lâ€™enquete, ses etudes, son pere, sa passion du francais, les problemes de lâ€™enseignement du francais en Algerie et dans la region",Bonne,,
Chlef,acafkeo1,M,1979,28,"Attaf, Aa¯n Defla","Chlef, Alger puis Oran (etudes), Chlef",Chlef,Il a toujours ete opticien,,Opticien,,celibataire,,,,,Bac + Diplome dâ€™etat optique-lunetterie (3 ans),,"arabe dialectal (langue maternelle), arabe classique, notions dâ€™anglais",,1939,Orleansville (aujourdâ€™hui Chlef),Agriculteur,"Analphabete, mais a recemment appris a  lire (repris lâ€™ecole au primaire, actuellement en 3e annee de fondamental)","arabe dialectal (langue maternelle), notions dâ€™arabe classique",,1950,Orleansville (aujourdâ€™hui Chlef),Femme au foyer,Analphabete,arabe dialectal (langue maternelle),,,,,,,Un colocataire dont la mere est francaise et avec qui il a sytematiquement parle francais pendant quelques annees,maison (coloniale),,Bonne integration,,,,,11/8/2004,,magasin de lâ€™enquete,Chlef,Aucun,,Locuteurs presents : FKEO + les deux enquetrices,glmt,"etudes de lâ€™enquete, son apprentissage du francais",Bonne,,"Brouhaha de la rue, musique en arriere-plan, une i"
Chlef,acakb1,F,1976,32,El Asnam (aujourdâ€™hui Chlef),"Elle a toujours vecu a  Chlef, sauf pendant 4 annees dâ€™etudes, a  Alger",Chlef,Elle a toujours ete psychopedagogue,,Psychopedagogue,,celibataire,,,,,Bac Licence Psychologie et Sciences de lâ€™Education,,"arabe dialectal (langue maternelle), arabe classique, notions dâ€™anglais",,1941,Orleansville (aujourdâ€™hui Chlef),Routier (desormais retraite),niveau primaire,"arabe dialectal (langue maternelle), arabe classique",,1941,"Boukadir, Chlef",Femme au foyer,Analphabete,arabe dialectal (langue maternelle) (notions de francais),,,,,,,,maison (baraque) familiale,,Bonne integration,,,,,11/8/2009,,Salon dâ€™hotel,Chlef,Aucun,,Locuteurs presents : KB + les deux enquetrices,glmt,"metier de lâ€™enquetee, seisme de 1980 et consequences sur le logement, souvenirs dâ€™ecole et des cours de francais, statut et place du francais dans la region et le pays",Moyenne,,"Locutrice peu prolixe beaucoup dâ€™allees et venues,"
Chlef,acakm1,F,1988,20,Chlef,Elle a toujours vecu a  Chlef,Chlef,Etudiante L2,,celibataire,,,,,,,Bac + Licence Biologie en cours,,"arabe dialectal (langue maternelle), arabe classique, anglais",,1945,"Oued Fodda, Chlef",Inspecteur des telecoms (desormais retraite),diplome dâ€™ingenieur,arabe dialectal (langue maternelle),,1954,Orleansville (aujourdâ€™hui Chlef),"employee, service des relations humaines, administration des eaux et forets",diplome de technicien superieur (TS),arabe dialectal (langue maternelle),,,,,,,"entourage familial, parents francophones","logement de fonction, immeuble collectif",,Bonne integration,,,,,11/8/2006,,Salle dâ€™hotel,Chlef,Aucun,,Locuteurs presents : KM + sa sÅ“ur (abanm1) + les deux enquetrices,"mtgl (lâ€™entretien libre est commun aux deux sÅ“urs, abakm1 et abanm1)","etudes, systeme LMD, chat sur internet, modes de vie",Bonne,,un peu de va-et-vient alentour
Chlef,acama1,M,1951,57,Orleansville (aujourdâ€™hui Chlef),"Orleansville (enfance), Oran puis Alger (etudes), Grenoble, puis Chlef",Chlef,"Enseignant de francais (lycee), puis sociologue (en bureau dâ€™etude), puis directeur dâ€™entreprise, puis journaliste (principales professions exercees)",,Journaliste,,divorce,,1,"1 fils de 12 ans, au CEM",,Bac + Licence Sociologie (4 ans),,"arabe dialectal (langue maternelle), arabe classique, notions dâ€™espagnol",,1907,Orleansville (aujourdâ€™hui Chlef),Ouvrier,Analphabete,arabe dialectal (langue maternelle) (notions de francais),,1914,Orleansville (aujourdâ€™hui Chlef),Femme au foyer,Analphabete,arabe dialectal (langue maternelle),,Orleansville (aujourdâ€™hui Chlef),Technicienne (dessin industriel),diplome de technicien superieur (TS),"arabe dialectal (langue maternelle), arabe classique, notions dâ€™anglais",,"Enseignants francais, ecole francaise post-coloniale",appartement en immeuble collectif,,"Excellente, connait tout le monde a  Chlef",,,,,11/8/2006,,Salon dâ€™hotel,Chlef,Amical,"ami de abamk1, et par suite ami de SL (enquetrice)",Locuteurs presents : MA + les deux enquetrices,glmt,"Presse en Algerie, changements politiques, mÅ“urs",Bonne,,"Pas mal de passage (portes qui claquent), quelques"
Chlef,acamk1,M,1952,56,"Beni Rached, Chlef","Beni Rached puis Oued Fodda (enfance), Oran puis Alger (etudes), Oued Fodda (adulte)","Oued Fodda, Chlef","agent commercial, puis enseignant de francais (vacataire)",,"Maitre-Assistant, litterature francaise, Universite de Chlef",,marie,,4,"1 fille de 24 ans, 3 fils de 23, 21 et 16 ans. Fille licenciee dâ€™anglais, sans emploi, fils lyceen ou etudiants",,Bac + Licence Francais (4 ans) + Magistere ancien,,"arabe dialectal (langue maternelle), arabe classique",,1920,"Beni Rached , Chlef",Commercant,Analphabete,arabe dialectal (langue maternelle) (ne parlait pas le francais),,1933,"Beni Rached, Chlef",Femme au foyer,Analphabete,arabe dialectal (langue maternelle) (ne parle pas le francais),,"Lamartine, Chlef",Femme au foyer,niveau 5e,arabe dialectal (langue maternelle),,"Enseignants francais, ecole francaise post-coloniale","appartement en immeuble collectif, alloue par lâ€™Etat",,Bonne integration,,,,,11/8/2006,,Salon dâ€™hotel,Chlef,Professionnel,"Collegue de travail de SL (enquetrice), enseignant de FA (informatrice)",Locuteurs presents : MK + les deux enquetrices,mtgl,"enseignement du francais au primaire, anecdotes sur lâ€™ancien metier dâ€™inspecteur de francais de lâ€™enquete, anecdotes sur son enfance et sa scolarite",Bonne,,"Pas mal de passage (portes qui claquent), quelques"
Chlef,acamk2,M,1964,45,El Asnam (aujourdâ€™hui Chlef),Il a toujours vecu a  Chlef,Chlef,Il a toujours ete libraire,,Libraire,,marie,,2,2 fils de 6 ans et 18 mois,,Etudes interrompues au lycee (par le seisme de 198,,"arabe dialectal (langue maternelle), arabe classique",,1923,Orleansville (aujourdâ€™hui Chlef),Gardien dâ€™administration (planton),Analphabete,arabe dialectal (langue maternelle) (notions de francais),,0,"Senges, Chlef",Femme au foyer,Analphabete,arabe dialectal (langue maternelle) (notions de francais),,El Asnam (aujourdâ€™hui Chlef),Ingenieur agronome,diplome dâ€™ingenieur,"arabe dialectal (langue maternelle), arabe classique, notions dâ€™anglais",,"Son premier patron, libraire, lui a donne le goa»t de la lecture, en particulier (mais pas seulement) en francais",,,Bonne integration,,,,,11/8/2009,,Librairie de lâ€™enquete (pendant les heures dâ€™ouverture),Chlef,Aucun,,Locuteurs presents : MK + les deux enquetrices + clients et employes alentour,gmtl,"Metier et goa»ts de lâ€™enquete, lecture et connaissances, langues",Moyenne,,"Beaucoup de bruit ambiant, telephones, conversatio"
Chlef,acanm1,F,1986,23,Chlef,Elle a toujours vecu a  Chlef,Chlef,"employee, domaine des assurances",,"Chargee de production et de comptabilite, domaine des assurances",,celibataire,,,,,Bac + Licence Sciences Economiques,,"arabe dialectal (langue maternelle), arabe classique, anglais",,1945,"Oued Fodda, Chlef",Inspecteur des telecoms (desormais retraite),diplome dâ€™ingenieur,arabe dialectal (langue maternelle),,1954,Orleansville (aujourdâ€™hui Chlef),"employee, service des relations humaines, administration des eaux et forets",diplome de technicien superieur (TS),arabe dialectal (langue maternelle),,,,,,,"entourage familial, parents francophones","logement de fonction, immeuble collectif",,Bonne integration,,,,,11/8/2006,,Salle dâ€™hotel,Chlef,Aucun,,Locuteurs presents : KM + sa sÅ“ur (abakm1) + les deux enquetrices,"mtgl (lâ€™entretien libre est commun aux deux sÅ“urs, abakm1 et abanm1)","travail et chomage des jeunes, etudes",Bonne,,un peu de va-et-vient alentour
